2017-12-13 00:00:01,2017-12-13 00:00:41,T-Mobile,212.95.5.84,fonira Telekom GmbH (Vienna),1.05,34.667,22.13,9.82,http://www.speedtest.net/result/6873991335.png
2017-12-13 00:02:01,2017-12-13 00:02:40,T-Mobile,212.95.5.84,fonira Telekom GmbH (Vienna),1.05,34.42,8.72,9.84,http://www.speedtest.net/result/6873995404.png
2017-12-13 00:04:01,2017-12-13 00:04:36,T-Mobile,212.95.5.84,www.drei.at (Vienna),1.07,34.224,26.33,9.85,http://www.speedtest.net/result/6873998768.png
2017-12-13 00:06:02,2017-12-13 00:06:35,T-Mobile,212.95.5.84,A1 Telekom Austria AG (Vienna),1.07,35.089,28.30,9.81,http://www.speedtest.net/result/6874002406.png
2017-12-13 00:08:02,2017-12-13 00:08:41,T-Mobile,212.95.5.84,UPC (Vienna),1.07,35.001,28.77,9.78,http://www.speedtest.net/result/6874005837.png
2017-12-13 00:10:01,2017-12-13 00:10:37,T-Mobile,212.95.5.84,www.drei.at (Vienna),1.07,35.609,25.39,9.86,http://www.speedtest.net/result/6874009249.png
2017-12-13 00:12:02,2017-12-13 00:12:44,T-Mobile,212.95.5.84,UPC (Vienna),1.07,35.161,26.32,9.80,http://www.speedtest.net/result/6874012802.png
2017-12-13 00:14:01,2017-12-13 00:14:34,T-Mobile,212.95.5.84,A1 Telekom Austria AG (Vienna),1.07,34.166,30.06,9.80,http://www.speedtest.net/result/6874015766.png
2017-12-13 00:16:02,2017-12-13 00:16:41,T-Mobile,212.95.5.84,www.drei.at (Vienna),1.07,36.362,22.27,9.11,http://www.speedtest.net/result/6874019563.png
2017-12-13 00:18:01,2017-12-13 00:18:33,T-Mobile,212.95.5.84,www.drei.at (Vienna),1.07,36.877,30.34,9.84,http://www.speedtest.net/result/6874022675.png
2017-12-13 00:20:01,2017-12-13 00:20:34,T-Mobile,212.95.5.84,www.drei.at (Vienna),1.07,34.94,29.83,9.83,http://www.speedtest.net/result/6874026215.png
2017-12-13 00:22:01,2017-12-13 00:22:32,T-Mobile,212.95.5.84,Onstage Online GmbH (Vienna),1.05,37.318,32.04,9.85,http://www.speedtest.net/result/6874029751.png
2017-12-13 00:24:02,2017-12-13 00:24:36,T-Mobile,212.95.5.84,www.drei.at (Vienna),1.07,34.447,27.69,9.87,http://www.speedtest.net/result/6874033375.png
2017-12-13 00:26:01,2017-12-13 00:26:32,T-Mobile,212.95.5.84,www.drei.at (Vienna),1.07,34.561,31.65,9.86,http://www.speedtest.net/result/6874036716.png
2017-12-13 00:28:01,2017-12-13 00:28:37,T-Mobile,212.95.5.84,www.drei.at (Vienna),1.07,34.129,29.30,9.84,http://www.speedtest.net/result/6874040224.png
2017-12-13 00:30:01,2017-12-13 00:30:33,T-Mobile,212.95.5.84,www.drei.at (Vienna),1.07,35.991,30.18,9.85,http://www.speedtest.net/result/6874043692.png
2017-12-13 00:32:01,2017-12-13 00:32:37,T-Mobile,212.95.5.84,Onstage Online GmbH (Vienna),1.05,36.648,25.39,9.86,http://www.speedtest.net/result/6874047584.png
2017-12-13 00:34:01,2017-12-13 00:34:33,T-Mobile,212.95.5.84,UPC (Vienna),1.07,36.328,30.29,9.85,http://www.speedtest.net/result/6874050765.png
2017-12-13 00:36:01,2017-12-13 00:36:34,T-Mobile,212.95.5.84,UPC (Vienna),1.07,35.046,29.58,9.80,http://www.speedtest.net/result/6874054192.png
